molecule,box,D_m2_s,window_ps
355,35,3.9166749686012466e-11,1574.5
356,35,4.3211477340467075e-12,1949.5
357,35,2.5404594133832826e-12,1374.5
358,35,2.9083247317027844e-11,1474.5
359,35,5.491304702707805e-11,1949.5
361,35,2.8718403435220382e-11,1774.5
362,35,2.5847278830455226e-12,999.5
363,35,1.0723241958675574e-11,1374.5
365,35,9.451824391662288e-12,1799.5
366,35,1.6096283586048694e-12,849.5
367,35,2.920254012344423e-12,1199.5
368,35,1.042773729287863e-12,1299.5
370,35,1.9668485755447835e-12,1074.5
371,35,5.2125293924738635e-12,1799.5
372,35,9.623778679303944e-11,1949.5
373,35,9.19948871804066e-12,1224.5
374,35,8.144547040569806e-13,1174.5
375,35,2.7319785228592436e-10,1949.5
376,35,1.890699835765119e-10,1949.5
377,35,3.4797318538424425e-11,1749.5
378,35,7.062845980713053e-12,1449.5
379,35,3.2815601220004364e-12,1349.5
380,35,1.4440725968039359e-12,1549.5
381,35,1.2510336544939685e-12,699.5
383,35,1.969402612609048e-12,1674.5
384,35,3.5345645594803893e-12,1799.5
385,35,3.66260552846311e-12,799.5
386,35,1.6989215767099377e-12,774.5
387,35,1.2738409347158194e-12,1849.5
388,35,3.22589645536922e-10,1949.5
389,35,2.6611734438663552e-12,1124.5
390,35,4.704075181969157e-12,1299.5
391,35,1.3009864177489463e-09,1949.5
392,35,5.52538854671271e-10,1949.5
393,35,3.6227473983620903e-09,1949.5
394,35,3.677035760269024e-12,1174.5
395,35,1.4410328138211299e-09,1949.5
396,35,2.189026328318003e-11,1124.5
398,35,6.14259200978846e-12,899.5
399,35,1.72131273560486e-11,1624.5
401,35,1.3447512369680057e-12,1774.5
402,35,2.175001002299201e-12,1274.5
403,35,1.4526114352861283e-09,1949.5
405,35,1.2293891551540822e-12,1024.5
407,35,2.2068503623453676e-12,1299.5
408,35,1.0661554883418243e-11,1374.5
410,35,1.3762793301006294e-12,1049.5
411,35,7.969777138702062e-12,999.5
414,35,1.7589506830817257e-12,1049.5
415,35,9.624236840263305e-13,1899.5
416,35,1.1098343697437614e-12,1049.5
417,35,1.6452374966323834e-09,1949.5
418,35,1.7336774043286016e-09,1949.5
420,35,3.4620925269788614e-13,524.5
421,35,2.9649374207513533e-10,1949.5
422,35,1.573174620231841e-11,1499.5
423,35,8.593068870040126e-12,1149.5
424,35,1.7579409802973596e-12,1549.5
425,35,2.538236180781291e-11,1699.5
426,35,1.4135271947384252e-09,1949.5
428,35,9.574887862447754e-11,1324.5
429,35,2.956949512150526e-13,624.5
430,35,2.729015605440418e-12,924.5
432,35,1.36967376396215e-09,1949.5
433,35,2.8319145287884212e-09,1949.5
434,35,9.394445228141768e-12,1599.5
435,35,1.3385084261570775e-09,1949.5
438,35,3.9849921107985416e-12,1674.5
439,35,2.090794483142115e-09,1949.5
440,35,7.800779698472739e-09,1949.5
441,35,7.088371265124813e-09,1949.5
442,35,9.888788239722716e-13,999.5
443,35,6.087587459419249e-13,1849.5
446,35,3.516695518979813e-09,1949.5
447,35,2.323208627120113e-09,1949.5
448,35,1.5421550608542124e-09,1949.5
449,35,9.9130763771155e-10,1949.5
450,35,7.485783808034319e-10,1949.5
451,35,4.497150967133211e-10,1949.5
452,35,3.5760991675101056e-10,1949.5
453,35,2.868017285593853e-10,1949.5
454,35,1.511196432518029e-10,1849.5
455,35,1.4081187399709139e-10,1949.5
456,35,5.611274950037955e-11,1949.5
457,35,7.250991481153593e-11,1924.5
458,35,2.523338215415607e-11,1549.5
